Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,23183,Phoenix,AZ,USA,33.433333,-112.016667,-7,339
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
990,12,31,10,436,784,85,11.7,0.6,47,985,0,0,0
1990,12,31,11,533,832,96,13.3,1.1,44,984,2.1,260,0
1990,12,31,12,568,851,99,15.6,1.7,39,983,2.6,260,0
1990,12,31,13,533,832,96,17.2,2.8,38,983,2.6,270,0
1990,12,31,14,437,784,85,18.9,3.3,36,982,2.1,260,0
1990,12,31,15,289,677,67,19.4,3.3,35,981,2.1,270,0
1990,12,31,16,118,435,44,18.9,3.9,37,981,2.1,260,0
1990,12,31,17,18,43,13,16.7,5,46,981,2.1,260,0
1990,12,31,18,0,0,0,15,5,52,982,2.1,260,0
1990,12,31,19,0,0,0,13.3,5.6,60,982,1.5,250,0
1990,12,31,20,0,0,0,12.8,5,60,982,2.1,290,0
1990,12,31,21,0,0,0,11.7,5,64,982,1.5,250,0
1990,12,31,22,0,0,0,11.1,4.4,64,982,0,0,0
1990,12,31,23,0,0,0,10.5,3.8,63,982,0,0,0
